htid,year,stratum,title,reason
uva.x000605932,1966,book,North Carolina parade; stories of history and people [by] Richard Walser and Julia Montgomery Street.  Illus. by Dixie Burrus Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015072235206,1974,book,Nursing and the aging patient / compiled by Mary H. Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015003787549,1973,book,Nursing and the cancer patient / compiled by Mary H. Browning and Edith P. Lewis.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015074094098,1972,book,Nursing in respiratory diseases / Compiled by Edith P. Lewis and Mary H. Browning.,book: brand name with no gun context (poet/painter/place/horse)
ien.35556021293055,1972,book,"Occupational licensing and public policy / Benjamin Shimberg, Barbara F. Esser, Daniel H. Kruger ; prepared at Educational Testing Service.",book: no firearm word or gun-context brand in title
uva.x000440517,1976,book,"Occupied Winchester, 1861-1865 : prepared for Farmers & Merchants National Bank, Winchester, Virginia / by Garland R. Quarles.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015016188651,1958,book,Office in the alley; report on a project with gang youngsters / [by] Harold J. Rahm [and] J. Robert Weber. Edited by Bert Kruger Smith.,book: no firearm word or gun-context brand in title
txu.059173026845468,1958,book,Office in the alley; report on a project with gang youngsters / [by] Harold J. Rahm [and] J. Robert Weber. Edited by Bert Kruger Smith.,book: no firearm word or gun-context brand in title
uc1.$b799950,1968,book,"Old Wolfville. Chapters from the fiction of Alfred Henry Lewis, selected and edited with an introd. and commentary by Louis Filler. Illus. by Frederic Remington",book: brand name with no gun context (poet/painter/place/horse)
pst.000015804075,1977,book,Omarr : astrology and the man / Norma Lee Browning.,book: brand name with no gun context (poet/painter/place/horse)
wu.89069665818,1958,book,"On the bloody trail of Geronimo. With the original illus. of Hooper, McDougall, Chapin, Hatfield, and Frederic Remington. Foreword, introd. and notes by Arthur Woodward.",book: brand name with no gun context (poet/painter/place/horse)
uc1.$b683861,1970,book,"On the diction of Tennyson, Browning, and Arnold.",book: brand name with no gun context (poet/painter/place/horse)
pst.000010476833,1970,book,"On the diction of Tennyson, Browning, and Arnold.",book: brand name with no gun context (poet/painter/place/horse)
osu.32435010863371,1980,book,On the hill / Bessie Marlin Mason.,book: brand name with no gun context (poet/painter/place/horse)
uc1.x29258,1957,book,On the mechanism of the browning reaction between ascorbic acid and glycine.,book: brand name with no gun context (poet/painter/place/horse)
wu.89038762258,1972,book,Optimization in systems engineering [by] Marlin H. Mickle and T. W. Sze.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924013042977,1957,book,Organization for instructional supervision in elementary schools [by] Bruce C. Browning [and] Henry J. Otto.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4723004,1968,book,"Original radio script of Abraham Lincoln : from the Cavalcade of America / presented by Du Pont, Tuesday, February 13th, 1940.",book: no firearm word or gun-context brand in title
uc1.b3286494,1957,book,"Orville H. Browning, Lincoln's friend and critic.",book: brand name with no gun context (poet/painter/place/horse)
uiug.30112041544518,1941,book,Other worlds are empty [by] Marie Moon Winchester.,book: brand name with no gun context (poet/painter/place/horse)
umn.31951d00185697i,1966,book,"Oxidative browning carrots, Daucus Carota.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b3695856,1976,book,"Ozone : analytical aspects & odor control, including abstracts of published articles on odor control with ozone : based on papers presented at a workshop held October 3, 1975, in Miami Beach, Florida / editors, Rip G. Rice, Myron E. Browning ; sponsored by the International Ozone Institute, inc.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39076006201789,1979,book,Palmyra / by Iain Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015003416453,1973,book,"Partially ionized gases / [by] M. Mitchner [and] Charles H. Kruger, Jr. -",book: no firearm word or gun-context brand in title
uc1.b4143803,1978,book,"Passivity of metals : proceedings of the fourth International Symposium on Passivity / edited by Robert P. Frankenthal, Jerome Kruger.",book: no firearm word or gun-context brand in title
pst.000049262087,1969,book,"Pathfinders of the West : being the thrilling story of the adventures of the men who discovered the great Northwest, Radisson, La Vérendrye, Lewis, and Clark. / Illus. by Remington, Goodwin, Marchand and others.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31175007697587,1977,book,Peacock's Four ages of poetry ; Shelley's Defence of poetry ; Browning's Essay on Shelley / edited by H. F. B. Brett-Smith.,book: brand name with no gun context (poet/painter/place/horse)
wu.89062919774,1976,book,Peter Hurkos : I have many lives / Norma Lee Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015014339496,1972,book,Picturesque ideas on the flight into Egypt / Etched by Giovanni Domenico Tiepolo. Introd. and captions by Colta Feller Ives.,book: no firearm word or gun-context brand in title
uva.x000574265,1972,book,Picturesque ideas on the flight into Egypt / etched by Giovanni Domenico Tiepolo ; introduction and captions by Colta Feller Ives.,book: no firearm word or gun-context brand in title
uc1.b4376403,1965,book,Pierre Samuel du Pont de Nemours.,book: no firearm word or gun-context brand in title
mdp.39015021035574,1967,book,Pigments : their manufacture properties and use / by John Stewart Remington and Wilfred Francis.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002067752,1967,book,Pigments : their manufacture properties and use / by John Stewart Remington and Wilfred Francis.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4098540,1965,book,Pioneers and patriots: the lives of six Negroes of the Revolutionary era [by] Lavinia Dobler and Edgar A. Toppin. Illustrated by Colleen Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.49015001000497,1947,book,"Pippa passes, and shorter poems / [by] Browning. Edited by Joseph E. Baker.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015047539484,1980,book,Pluralism and personality : William James and some contemporary cultures of psychology / Don S. Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.31175020933464,1968,book,"Population mobility--focus on Texas / Harley L. Browning, Larry H. Long, editors.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015018111271,1974,book,Post-baccalaureate grants and awards in music / Compiled by Chaddie B. Kruger.,book: no firearm word or gun-context brand in title
rul.39030020928141,1933,book,"Powder, the story of a colt, a duchess and the circus; illustrated by Fedor Rojankovsky.",book: brand name with no gun context (poet/painter/place/horse)
nyp.33333060370869,1933,book,"Powder, the story of a colt, a duchess and the circus; illustrated by Fedor Rojankovsky.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015003235101,1978,book,Practical antimicrobial therapy / Herbert L. DuPont.,book: no firearm word or gun-context brand in title
mdp.39015047406353,1973,book,Practical handbook of industrial traffic management / [by] Richard C. Colton [and] Edmund S. Ward. Rev. by Charles H. Wager.,book: no firearm word or gun-context brand in title
wu.89033928359,1973,book,Practical handbook of industrial traffic management / [by] Richard C. Colton [and] Edmund S. Ward. Rev. by Charles H. Wager.,book: no firearm word or gun-context brand in title
uc1.32106005946394,1969,book,"Pre-Cretaceous sedimentation and metamorphism in the Winchester area, northern peninsular ranges, California [by] Henry P. Schwarcz.",book: brand name with no gun context (poet/painter/place/horse)
uiug.30112055989807,1959,book,Precepts for the young / by Ann Ree Colton.,book: no firearm word or gun-context brand in title
uc1.31175001054470,1953,book,Prentice Mulford's story; illus. by Frederic Remington.,book: brand name with no gun context (poet/painter/place/horse)
umn.31951000024227h,1969,book,"Preparative ultracentrifuge applications; an annotated bibliography, compiled by Phyllis M. Browning.",book: brand name with no gun context (poet/painter/place/horse)
wu.89057260549,1950,book,"Primitive painters in America, 1750-1950; an anthology, by Jean Lipman and Alice Winchester.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015009017321,1972,book,Prison life; a study of the explosive conditions in America's prisons / [by] the editors of Ramparts magazine and Frank Browning. -,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4399777,1979,book,"Private practice handbook : the tools, tactics & techniques for successful practice development / by Charles H. Browning",book: brand name with no gun context (poet/painter/place/horse)
chi.62217478,1967,book,Proceedings [of the] Conference on Mental Health Services across State Lines: the potential for interstate cooperation. Editor: Avery M. Colt.,book: brand name with no gun context (poet/painter/place/horse)
osu.32435059253641,1958,book,Production of 2 x 2 inch slides for school use / prepared by Joe Coltharp ; designed and illustrated by Gerda McMurry.,book: no firearm word or gun-context brand in title
mdp.49015001270645,1974,book,"Prosecution; the decision to charge a suspect with a crime / by Frank W. Miller. Frank J. Remington, editor.",book: brand name with no gun context (poet/painter/place/horse)
umn.31951000230093c,1979,book,"Public finance and the price system / Edgar K. Browning, Jacqueline M. Browning.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015013307197,1980,book,"Quest for Eros : Browning and ""Fifine"" / Samuel B. Southwell.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b3484133,1980,book,"Quest for Eros : Browning and ""Fifine"" / Samuel B. Southwell.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31210024786806,1979,book,"Radar cross sections of low density ice spheres coated with higher density ice L.J. Battan, S.R. Browning, and B.M. Herman.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015013066496,1936,book,Railway wonders of the world / Editor: Clarence Winchester. Consulting editor: Cecil J. Allen ...,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015021119279,1936,book,Railway wonders of the world / Editor: Clarence Winchester. Consulting editor: Cecil J. Allen ...,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015021119238,1936,book,Railway wonders of the world / Editor: Clarence Winchester. Consulting editor: Cecil J. Allen ...,book: brand name with no gun context (poet/painter/place/horse)
uva.x000663699,1968,book,Ranch life in the Far West. Illustrated by Frederic Remington.,book: brand name with no gun context (poet/painter/place/horse)
cub.p102210901008,1946,book,"Range and ballistic tables, 1946 : printed for the use of the midshipmen at the U.S. Naval Academy in connection with the textbook Exterior ballistics, 1943 / U.S. Naval Institute.",book: no firearm word or gun-context brand in title
uc1.x29965,1968,book,"Reactions of biological antioxidants with aliphatic hydroperoxides, by Edward Hart Gruger, Jr.",book: no firearm word or gun-context brand in title
mdp.39015009355515,1976,book,Readings in Third World missions : a collection of essential documents / edited by Marlin L. Nelson.,book: brand name with no gun context (poet/painter/place/horse)
umn.319510007824527,1962,book,Really not really / by Lesley Frost ; illustrated by Barbara Remington.,book: brand name with no gun context (poet/painter/place/horse)
uc1.31970004239239,1976,book,"Recollections of Louisa May Alcott, John Greenleaf Whittier, and Robert Browning, together with several memorial poems / by Maria S. Porter",book: brand name with no gun context (poet/painter/place/horse)
chi.13584035,1969,book,"Records of Tennyson, Ruskin, Browning.",book: brand name with no gun context (poet/painter/place/horse)
umn.31951002164375r,1969,book,Red men and white. Illustrated by Frederic Remington.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015006473634,1975,book,Redistribution and the welfare system / Edgar K. Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4448580,1976,book,Rehabilitation and the retarded offender / edited by Philip L. Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015004327089,1976,book,Rehabilitation and the retarded offender / edited by Philip L. Browning.,book: brand name with no gun context (poet/painter/place/horse)
uva.x000170867,1979,book,"Religion in the 18th century / edited by R. E. Morton, J. D, Browning.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31175003923714,1975,book,Remarks on Don Juan / by C. C. Colton.,book: no firearm word or gun-context brand in title
bc.ark:/13960/t1dj66f59,1975,book,Remarks on Don Juan / by C. C. Colton.,book: no firearm word or gun-context brand in title
loc.ark:/13960/t3qv3p64s,1975,book,Remarks on Don Juan / by C. C. Colton.,book: no firearm word or gun-context brand in title
ien.35558000603684,1980,book,Remington's Pharmaceutical sciences.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924028724700,1969,book,Remington's frontier sketches.,book: brand name with no gun context (poet/painter/place/horse)
ien.35558004930166,1951,book,"Remington's practice of pharmacy : a treatise on the preparing, standardizing, and dispensing of official, unofficial, and extemporaneous pharmaceutical products, with descriptions of medicinal substances, their properties, uses and doses ...",book: brand name with no gun context (poet/painter/place/horse)
chi.086314835,1951,book,"Remington's practice of pharmacy; a treatise on the preparing, standardizing, and dispensing of official and extemporaneous pharmaceutical products, with descriptions of medicinal substances, their properties, uses and doses. Also a guide to other professional services rendered by the pharmacist in ",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002152414,1965,book,Report from a Chinese village / Illustrated and with photos. by Gun Kessle. Translated from the Swedish by Maurice Michael.,book: gun word is physics or a personal name
mdp.39015004762954,1965,book,Report from a Chinese village / Illustrated and with photos. by Gun Kessle. Translated from the Swedish by Maurice Michael.,book: gun word is physics or a personal name
uc1.31822002965861,1965,book,Report from a Chinese village / by Jan Myrdal ; Illustrated by Gun Kessle; Translated from the Swedish by Maurice Michael,book: gun word is physics or a personal name
uc1.$b717364,1972,book,Reverend Elhanan Winchester: biography and letters.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39076000529417,1970,book,Robert Browning / [by] Ioan M. Williams.,book: brand name with no gun context (poet/painter/place/horse)
hvd.hw9mma,1978,book,Robert Browning / by Arthur Waugh.,book: brand name with no gun context (poet/painter/place/horse)
uva.x000046103,1977,book,Robert Browning / by Walter L. Sheldon.,book: brand name with no gun context (poet/painter/place/horse)
hvd.hnl2d5,1977,book,Robert Browning / by Walter L. Sheldon.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002288689,1974,book,Robert Browning / edited by Isobel Armstrong.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000374754,1969,book,Robert Browning and his world.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015028547910,1969,book,Robert Browning and his world.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015009139588,1969,book,Robert Browning and his world.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015009048425,1969,book,Robert Browning and his world.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3553519,1962,book,Robert Browning and the Babylonian Woman,book: brand name with no gun context (poet/painter/place/horse)
rul.39030014239091,1934,book,Robert Browning as a dramatist / Albert T. Puntney.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015064857405,1932,book,Robert Browning through French eyes.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3315400,1942,book,"Robert Browning's Pied piper of Hamelin, arranged as a choral drama by Agnes Curren Hamm.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015023472387,1969,book,Robert Browning's father: his way with a book / An account of annotations made by Browning's father in his copy of John Landseer's Lectures on the art of engraving delivered at the Royal Institution of Great Britain. -,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015037385062,1947,book,Robert Browning's finances from his own account book.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015012431519,1967,book,"Robert Browning's moral-aesthetic theory, 1833-1855 / by Thomas J. Collins.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4592532,1977,book,"Robert Browning, a Shelley Promethean / Paul A. Cundiff.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015018882319,1977,book,"Robert Browning, a Shelley Promethean / Paul A. Cundiff.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015001345936,1932,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
wu.89001266279,1970,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
iau.31858005665751,1970,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
hvd.32044086847266,1973,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4937904,1974,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015009290563,1974,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015019375909,1974,book,Robert Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4313637,1953,book,"Robert Browning: a bibliography, 1830-1950; compiled by Leslie Nathan Broughton, Clark Sutherland Northup [and] Robert Pearsall.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b3578897,1953,book,"Robert Browning: a bibliography, 1830-1950; compiled by Leslie Nathan Broughton, Clark Sutherland Northup [and] Robert Pearsall.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015009304356,1966,book,Robert Browning: a collection of critical essays.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39076006221951,1973,book,Robert Browning: a study of his poetry.,book: brand name with no gun context (poet/painter/place/horse)
wu.89001267442,1973,book,"Robert Browning: chief poet of the age, by William G. Kingsland.",book: brand name with no gun context (poet/painter/place/horse)
hvd.hwajst,1974,book,"Robert Browning: the thoughts of a poet on art and faith, a lecture delivered to the Birmingham Central Literary Association, March 27th, 1885, by Howard S. Pearson.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31822004444287,1970,book,Robert Browning; essays and thoughts / by John T. Nettleship,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002672510,1974,book,"Robert and Elizabeth Barrett Browning : an annotated bibliography, 1951-1970 / by William S. Peterson.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4534808,1978,book,Robots on your doorstep (a book about thinking machines) / Nels Winkless and Iben Browning ; with an introd. by John Peers.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002053083,1978,book,Robots on your doorstep (a book about thinking machines) / Nels Winkless and Iben Browning ; with an introd. by John Peers.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002996257,1973,book,"Rural Santo Domingo: settled, unsettled, and resettled / [by] Marlin D. Clausner.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4245398,1973,book,"Rural Santo Domingo: settled, unsettled, and resettled / [by] Marlin D. Clausner.",book: brand name with no gun context (poet/painter/place/horse)
pst.000000369862,1976,book,Rural public welfare / Grace Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4929958,1979,book,"Russian romantic prose : an anthology : containing tales by Alexander Pushkin, Nikolai Gogol, Orest Somov, Vladimir Odoevsky, Alexander Veltman, Mikhail Lermontov, Count Vladimir Sollogub, Alexander Bestuzhev-Marlinsky / with translations by David Lowe ... [et al.] ; edited by Carl R. Proffer.",book: no firearm word or gun-context brand in title
mdp.39015008203542,1979,book,"Russian romantic prose : an anthology : containing tales by Alexander Pushkin, Nikolai Gogol, Orest Somov, Vladimir Odoevsky, Alexander Veltman, Mikhail Lermontov, Count Vladimir Sollogub, Alexander Bestuzhev-Marlinsky / with translations by David Lowe ... [et al.] ; edited by Carl R. Proffer.",book: no firearm word or gun-context brand in title
nyp.33433008656419,1977,book,"SN00 aMid-Atlantic economic development region : b prospectus for development : bchallenges and opportunities for the mid-Atlantic region : ban application for designation under the provisions of PL 94-188.00, as a Title V Regional Action Planning Commission / cDelaware, Pierre du Pont, Governor; Ma",book: no firearm word or gun-context brand in title
mdp.39015081364864,1953,book,SOME STUDIES IN THE SHORTER POEMS OF ROBERT BROWNING: STYLISTIC INTERPRETATIONS.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015073497458,1951,book,Sagas of struggle : a labor anthology / selected by Samuel Colton ; drawings by Raymond Zalstein.,book: no firearm word or gun-context brand in title
mdp.39015042874902,1952,book,Samuel Colt : a man and an epoch / by Martin Rywell.,book: brand name with no gun context (poet/painter/place/horse)
uc1.31210010912176,1974,book,Samuel Colt's submarine battery : the secret and the enigma [by] Philip K. Lundeberg.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015023177739,1974,book,Samuel Colt's submarine battery : the secret and the enigma [by] Philip K. Lundeberg.,book: brand name with no gun context (poet/painter/place/horse)
wu.89059409300,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
wu.89059409334,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
wu.89059409367,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
uva.x004884605,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
uva.x000391166,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
uva.x001124048,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
mdp.39015019956187,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
mdp.39015019101180,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
mdp.39015019101172,1969,book,"Samuel Francis Du Pont; a selection from his Civil War letters, edited by John D. Hayes.",book: no firearm word or gun-context brand in title
uc1.b3923967,1968,book,"Santayana on America; essays, notes, and letters on American life, literature, and philosophy. Edited and with an introd. by Richard Colton Lyon.",book: no firearm word or gun-context brand in title
uc1.$b243679,1961,book,Saturday lunch with the Brownings; stories.,book: no firearm word or gun-context brand in title
mdp.39015053616507,1961,book,Saturday lunch with the Brownings; stories.,book: no firearm word or gun-context brand in title
uva.x000004637,1977,book,Science of education and the psychology of the child / Jean Piaget ; translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
mdp.39015013962132,1970,book,Science of education and the psychology of the child / Translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
mdp.39015040128475,1970,book,Science of education and the psychology of the child / Translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
uc1.b4165976,1970,book,Science of education and the psychology of the child / Translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
mdp.39015024214648,1970,book,Science of education and the psychology of the child / Translated from the French by Derek Coltman.,book: no firearm word or gun-context brand in title
uva.x004026065,1949,book,Second differentials of functions in exterior ballistics.,book: no firearm word or gun-context brand in title
umn.31951001317827r,1979,book,"Selected proceedings of the 1978 Science Fiction Research Association National Conference / editor, Thomas J. Remington ; associate editor, James Bittner ; assistant editors, Frank Downes [and others].",book: brand name with no gun context (poet/painter/place/horse)
pst.000033274867,1969,book,Selected readings in American national government / edited by Jung-Gun-Kim [and] James C. Dixon.,book: gun word is physics or a personal name
mdp.39015017572119,1959,book,"Selected topics on ballistics, Cranz Centenary Colloquium, University of Freiburg, Freiburg/Br., West Germany / editor: Wilbur C. Nelson.",book: no firearm word or gun-context brand in title
mdp.39015039878973,1959,book,"Selected topics on ballistics, Cranz Centenary Colloquium, University of Freiburg, Freiburg/Br., West Germany / editor: Wilbur C. Nelson.",book: no firearm word or gun-context brand in title
mdp.39015000966047,1975,book,Semiconductor circuits: linear and digital / [by] Marlin P. Ristenbatt.,book: brand name with no gun context (poet/painter/place/horse)
mdp.49015001052167,1974,book,"Sentencing: the decision as to type, length, and conditions of sentence / by Robert O. Dawson. Frank J. Remington: editor.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39076006248244,1980,book,"Serving handicapped students / Hazel Z. Sprandel, Marlin R. Schmidt, guest editors.",book: brand name with no gun context (poet/painter/place/horse)
uc1.l0091502708,1974,book,Shakespeare and the Bible : parallel passages and passages suggested by the Bible with the religious sentiments of Shakespeare / by G. Q. Colton ; with an introduction by Rev Robert Collyer.,book: no firearm word or gun-context brand in title
wu.89058353095,1964,book,Shaping the spirit of America; articles from Harper's and Century magazines recalling events and times that helped determine the present national image of the United States of America. Compiled by Thomas C. Jones. Color reproductions of paintings by Frederic Remington and Winslow Homer.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000225451,1965,book,Shelley and Browning: a myth and some facts / by Frederick A. Pottle. With a foreword by William Lyon Phelps.,book: brand name with no gun context (poet/painter/place/horse)
wu.89001028844,1977,book,"Shelley, the man and the poet : being a reprint of the introductory essay prefixed to (twenty-five spurious) Letters of Percy Bysshe Shelley, published by Edward Moxon in 1852 / by Robert Browning.",book: brand name with no gun context (poet/painter/place/horse)
nyp.33333024226033,1944,book,"Shipmates in white; navy nurses on sea duty, by Jean Dupont Miller.",book: no firearm word or gun-context brand in title
yul.11727381_000_00,1972,book,Smack! By the editors of Ramparts magazine and Frank Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015027589046,1938,book,Social case records: family welfare / edited by Elizabeth S. Dixon and Grace Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.$b350399,1938,book,Social case records: family welfare / edited by Elizabeth S. Dixon and Grace Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002664517,1973,book,Socio-economic systems and principles / Edited by William G. Vogt and Marlin H. Mickle. Guest editor: H. E. Hoelscher. Associate editors: Carl Beck [and others],book: brand name with no gun context (poet/painter/place/horse)
pst.000005387342,1979,book,Soil classification in the United States / Marlin G. Cline.,book: brand name with no gun context (poet/painter/place/horse)
uc1.c2946439,1960,book,Some aspects of American and Indonesian fiscal and monetary policies : a comparative study / by Johannes Baptista Sumarlin.,book: no firearm word or gun-context brand in title
coo.31924001693161,1943,book,"Some morphological and anatomical investigations on the flowers of the genus Potamogeton. Variation in stone cells in ""seed"" coats of different species of the genus Najas. By Natalie Browning Whitford.",book: brand name with no gun context (poet/painter/place/horse)
pst.000005756148,1969,book,Song of a woods colt : poetry.,book: brand name with no gun context (poet/painter/place/horse)
uc1.32106001926044,1977,book,Sonnets from the Portuguese / Elizabeth Barrett Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015001449688,1932,book,Sonnets from the Portuguese / by Elizabeth Barrett Browning.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015004248426,1977,book,Sordello / Robert Browning ; edited by Morse Peckham.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924001887417,1976,book,South Pacific birds / by John E. duPont ; ill. by George Sandström.,book: no firearm word or gun-context brand in title
umn.31951002002862x,1937,book,Spanish pesos : a western story / William Colt MacDonald.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015074134175,1933,book,"Specialization of verbal facility at the college entrance level; a comparative study of scientific and literary vocabularies / by Warren George Findley ... Professor Henry A. Ruger, sponsor.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b4390647,1979,book,"Speech communication and theater arts : a classified bibliography of theses and dissertations, 1973-1978 / Merilyn D. Merenda and James W. Polichak ; with an introd. by Arthur N. Kruger.",book: no firearm word or gun-context brand in title
mdp.49015000774902,1969,book,"St. Anne and the gouty rector, and other plays / by Henri Ghéon and Henri Brochet ; translated by Marcus Selden Goldman & Olive Remington Goldman.",book: brand name with no gun context (poet/painter/place/horse)
uc1.$b703786,1950,book,"St. Anne and the gouty rector, and other plays, by Henri Ghéon and Henri Brochet. Translated by Marcus Selden Goldman & Olive Remington Goldman.",book: brand name with no gun context (poet/painter/place/horse)
uc1.b3751384,1950,book,"St. Anne and the gouty rector, and other plays, by Henri Ghéon and Henri Brochet. Translated by Marcus Selden Goldman & Olive Remington Goldman.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000673023,1972,book,"Standards relating to the urban police function / Recommended by the Advisory Committee on the Police Function. Frank J. Remington, chairman. Herman Goldstein, reporter; Sheldon Krantz, reporter. Tentative draft.",book: brand name with no gun context (poet/painter/place/horse)
umn.31951d016981217,1978,book,"State park system plan for South Dakota / prepared by the Division of Parks and Recreation ; Lowen Schuett, director, David A. Kruger, division staff specialist, David L. Anderson, resource staff specialist.",book: no firearm word or gun-context brand in title
mdp.39015053931005,1963,book,"Statistical methods / Herbert Arkin, Raymond R. Colton.",book: no firearm word or gun-context brand in title
uc1.b4539463,1960,book,"Statistical methods [as applied to economics, business psychology, education, and biology. Keyed to standard textbooks. By Herbert Arkin [and] Raymond R. Colton.",book: no firearm word or gun-context brand in title
uc1.b4513827,1970,book,Statistics in endocrinology; proceedings. Edited by Janet W. McArthur and Theodore Colton,book: no firearm word or gun-context brand in title
mdp.39015000836190,1974,book,Statistics in medicine / Theodore Colton.,book: no firearm word or gun-context brand in title
mdp.39015023428819,1970,book,Statistics with applications to the biological and health sciences / [by] Richard D. Remington [and] M. Anthony Schork.,book: brand name with no gun context (poet/painter/place/horse)
